# FILE:  main_ispGauss_DGaO2016.py
# TIME:  Tue May 10 08:36:47 2016
# COMPUTATIONAL DOMAIN ----------------------------------------
# zMax   = 0.15
# rhoMax = 0.25
# Nz     = 600
# Nrho   = 5000
# Nphi   = 36
# LAYER PROPERTIES --------------------------------------------
# zIni   = 0.0
# zFin   = 0.1
# ma     = 20.0
# c0      = 1.0
# BEAM PARAMETERS ---------------------------------------------
# a    = 0.1
# MEASUREMENT PARAMETERS --------------------------------------
# zD   = -0.46
# dw   = 0.005
# OPTOACOUSTIC PARAMETERS -------------------------------------
# wD   = 92.0
# D    = 4.6
# SIMULATION RESULTS ------------------------------------------
# (t) 	 (c tau) 	 (p0(ctau)) 	 (p(rD,t))
0 	 -0.46 	 0 	 0
0.00025 	 -0.45975 	 0 	 0
0.0005 	 -0.4595 	 0 	 0
0.00075 	 -0.45925 	 0 	 0
0.001 	 -0.459 	 0 	 0
0.00125 	 -0.45875 	 0 	 0
0.0015 	 -0.4585 	 0 	 0
0.00175 	 -0.45825 	 0 	 0
0.002 	 -0.458 	 0 	 0
0.00225 	 -0.45775 	 0 	 0
0.0025 	 -0.4575 	 0 	 0
0.00275 	 -0.45725 	 0 	 0
0.003 	 -0.457 	 0 	 0
0.00325 	 -0.45675 	 0 	 0
0.0035 	 -0.4565 	 0 	 0
0.00375 	 -0.45625 	 0 	 0
0.004 	 -0.456 	 0 	 0
0.00425 	 -0.45575 	 0 	 0
0.0045 	 -0.4555 	 0 	 0
0.00475 	 -0.45525 	 0 	 0
0.005 	 -0.455 	 0 	 0
0.00525 	 -0.45475 	 0 	 0
0.0055 	 -0.4545 	 0 	 0
0.00575 	 -0.45425 	 0 	 0
0.006 	 -0.454 	 0 	 0
0.00625 	 -0.45375 	 0 	 0
0.0065 	 -0.4535 	 0 	 0
0.00675 	 -0.45325 	 0 	 0
0.007 	 -0.453 	 0 	 0
0.00725 	 -0.45275 	 0 	 0
0.0075 	 -0.4525 	 0 	 0
0.00775 	 -0.45225 	 0 	 0
0.008 	 -0.452 	 0 	 0
0.00825 	 -0.45175 	 0 	 0
0.0085 	 -0.4515 	 0 	 0
0.00875 	 -0.45125 	 0 	 0
0.009 	 -0.451 	 0 	 0
0.00925 	 -0.45075 	 0 	 0
0.0095 	 -0.4505 	 0 	 0
0.00975 	 -0.45025 	 0 	 0
0.01 	 -0.45 	 0 	 0
0.01025 	 -0.44975 	 0 	 0
0.0105 	 -0.4495 	 0 	 0
0.01075 	 -0.44925 	 0 	 0
0.011 	 -0.449 	 0 	 0
0.01125 	 -0.44875 	 0 	 0
0.0115 	 -0.4485 	 0 	 0
0.01175 	 -0.44825 	 0 	 0
0.012 	 -0.448 	 0 	 0
0.01225 	 -0.44775 	 0 	 0
0.0125 	 -0.4475 	 0 	 0
0.01275 	 -0.44725 	 0 	 0
0.013 	 -0.447 	 0 	 0
0.01325 	 -0.44675 	 0 	 0
0.0135 	 -0.4465 	 0 	 0
0.01375 	 -0.44625 	 0 	 0
0.014 	 -0.446 	 0 	 0
0.01425 	 -0.44575 	 0 	 0
0.0145 	 -0.4455 	 0 	 0
0.01475 	 -0.44525 	 0 	 0
0.015 	 -0.445 	 0 	 0
0.01525 	 -0.44475 	 0 	 0
0.0155 	 -0.4445 	 0 	 0
0.01575 	 -0.44425 	 0 	 0
0.016 	 -0.444 	 0 	 0
0.01625 	 -0.44375 	 0 	 0
0.0165 	 -0.4435 	 0 	 0
0.01675 	 -0.44325 	 0 	 0
0.017 	 -0.443 	 0 	 0
0.01725 	 -0.44275 	 0 	 0
0.0175 	 -0.4425 	 0 	 0
0.01775 	 -0.44225 	 0 	 0
0.018 	 -0.442 	 0 	 0
0.01825 	 -0.44175 	 0 	 0
0.0185 	 -0.4415 	 0 	 0
0.01875 	 -0.44125 	 0 	 0
0.019 	 -0.441 	 0 	 0
0.01925 	 -0.44075 	 0 	 0
0.0195 	 -0.4405 	 0 	 0
0.01975 	 -0.44025 	 0 	 0
0.02 	 -0.44 	 0 	 0
0.02025 	 -0.43975 	 0 	 0
0.0205 	 -0.4395 	 0 	 0
0.02075 	 -0.43925 	 0 	 0
0.021 	 -0.439 	 0 	 0
0.02125 	 -0.43875 	 0 	 0
0.0215 	 -0.4385 	 0 	 0
0.02175 	 -0.43825 	 0 	 0
0.022 	 -0.438 	 0 	 0
0.02225 	 -0.43775 	 0 	 0
0.0225 	 -0.4375 	 0 	 0
0.02275 	 -0.43725 	 0 	 0
0.023 	 -0.437 	 0 	 0
0.02325 	 -0.43675 	 0 	 0
0.0235 	 -0.4365 	 0 	 0
0.02375 	 -0.43625 	 0 	 0
0.024 	 -0.436 	 0 	 0
0.02425 	 -0.43575 	 0 	 0
0.0245 	 -0.4355 	 0 	 0
0.02475 	 -0.43525 	 0 	 0
0.025 	 -0.435 	 0 	 0
0.02525 	 -0.43475 	 0 	 0
0.0255 	 -0.4345 	 0 	 0
0.02575 	 -0.43425 	 0 	 0
